doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
#Error (dialog),Gallery media fullscreen screen,,Used as a fallback message when we get an unexpected error from cloud. Displayed in a toast.,errorCode.noActionCanBeDone,general_error_contact_admin,Oops! An unknown error has occurred! Please contact Customer Service for assistance.,喔喔! 未知狀況發生! 請聯繫客服協助處理,糟糕! 发生未知状况! 请联系客服帮助处理,อ๊ะ! ข้อผิดพลาดที่ไม่รู้จักได้เกิดขึ้น! กรุณาติดต่อฝ่ายบริการลูกค้าเพื่อขอความช่วยเหลือ,Hoppla! Es ist ein unbekannter Fehler aufgetreten! Bitte wenden Sie sich für Unterstützung an den Kundendienst.
#Error / Account exited,Error message showed when user tries to sign up with existing email,,[VIRTUS] In Android the string value is different and is represented by the following key: e10004,errorCode.accountHasBeenRegistered,e10004,This email has already been registered.,此電子郵件已註冊,此电子邮箱已注册,อีเมลนี้ได้รับการลงทะเบียนแล้ว,Diese E-Mail wurde bereits registriert.
#Error / Birthdy empty,,,,errorCode.birthdayIsEmpty,e10025,Birthday field is empty.,生日未輸入,生日未输入,ฟิลด์วันเกิดว่างเปล่า,Das Feld „Geburtstag“ ist leer.
#Error / Download failed,,,,couldNotDownloadMediasError,could_not_download_some_medias,Could not download more photos. Please try again later.,無法下載更多照片，請稍候再試,无法下载更多照片，请稍候再试,ไม่สามารถดาวน์โหลดรูปภาพเพิ่มเติมได้ กรุณาลองใหม่อีกครั้งในภายหลัง.,Es konnten keine weiteren Fotos heruntergeladen werden. Bitte versuchen Sie es später noch einmal.
#Error / Email empty,,,,errorCode.emailIsEmpty,e10001,Please enter an email,請輸入電子郵件,请输入电子邮箱,โปรดป้อนอีเมล,Bitte gib Deine E-Mail-Adresse ein.
#Error / Email unvalidated,,,,errorCode.emailNotVerified,e10038,Email has not been verified,電子郵件未經過認證,电子邮箱未经过认证,ยังไม่ได้รับการยืนยันอีเมล,E-Mail wurde nicht bestätigt
#Error / Email validated,,,,errorCode.emailIsAlreadyVerified,e10039,Email has been verified,電子郵件已認證,电子邮箱已认证,อีเมลได้รับการยืนยันแล้ว,E-Mail wurde bestätigt
#Error / Name empty,,,,errorCode.nameIsEmpty,e10040,Please enter your name,請輸入名字,请输入名字,กรุณากรอกชื่อของคุณ,Bitte gib Deinen Namen ein.
#Error / Network failed,"Playback screen, Subscription screen network error dialog",,Same string as network_error_title,,network_error_title,Connection failed,連線失敗,连接失败,การเชื่อมต่อล้มเหลว,Verbindung fehlgeschlagen
#Error / Password confirm empty,,,,errorCode.confirmPasswordIsEmpty,e10048,Please enter password again.,請再次輸入密碼,请再次输入密码,กรุณากรอกรหัสผ่านอีกครั้ง,Bitte gib das Passwort erneut ein.
#Error / Password didn't match,,,,errorCode.passwordIsNotMatch,e10016,Wrong password,密碼輸入不符合,密码输入不符合,รหัสผ่านผิด,Falsches Passwort.
#Error / Password empty,,,,errorCode.passwordIsEmpty,e10002,Please enter password,請輸入密碼,请输入密码,กรุณากรอกรหัสผ่าน,Bitte gib das Passwort ein.
#Error / Password wrong format,,,,errorCode.passwordMustHaveAtLeast8Char,e10032,Invalid password format (8 or more characters),密碼格式有誤(長度至少8個字元),密码格式有误(长度至少8个字符),รูปแบบรหัสผ่านที่ไม่ถูกต้อง (8 ตัวอักษรขึ้นไป),Ungültiges Passwort (mindestens 8 Zeichen).
#Error / Password wrong format,,,,errorCode.passwordMustHaveAtLeast1Num,e10033,Invalid password format (At least one number),密碼格式有誤(至少含一個數字),密码格式有误(至少含一个数字),รูปแบบรหัสผ่านที่ไม่ถูกต้อง (อย่างน้อยหนึ่งหมายเลข),Ungültiges Passwort (mindestens eine Zahl).
#Error / Password wrong format,,,,errorCode.passwordMustHaveAtLeast1LowerCase,e10034,Invalid password format (At least one lowercase letter),密碼格式有誤(至少含一個小寫字母),密码格式有误(至少含一个小写字母),รูปแบบรหัสผ่านที่ไม่ถูกต้อง (อย่างน้อยหนึ่งตัวอักษรตัวพิมพ์เล็ก),Ungültiges Passwort (mindestens ein Kleinbuchstabe).
#Error / Password wrong format,,,,errorCode.passwordMustHaveAtLeast1UpperCase,e10035,Invalid password format (At least one uppercase letter),密碼格式有誤(至少含一個大寫字母),密码格式有误(至少含一个大写字母),รูปแบบรหัสผ่านที่ไม่ถูกต้อง (อย่างน้อยหนึ่งตัวอักษรตัวพิมพ์ใหญ่),Ungültiges Passwort (mindestens ein Großbuchstabe).
#Error / Save failed,Special cards screen,,,special.cards.saveFailed,special_cards_save_error,Save failed,儲存失敗,保存失败,บันทึกล้มเหลว,Speichern fehlgeschlagen.
#Error / Validation code exipred,,,,errorCode.verifyTokenIsExpired,e10029,"Code has expired, Please cancel and try again.",驗證碼已過期，請取消並重試,验证码已过期，请取消并重试,รหัสหมดอายุโปรดยกเลิกและลองอีกครั้ง,Der Code ist abgelaufen. Bitte brechen Sie ab und versuchen Sie es erneut.
#Error / Wrong validation code,,,,errorCode.verifyTokenNotFound,e10030,"Code is incorrect, Please try again.",驗證碼不正確，請再試一次,验证码错误，请再试一次,รหัสไม่ถูกต้องโปรดลองอีกครั้ง,Der Code ist falsch. Bitte versuchen Sie es erneut.
#Toast / 2wayTalk used,Tried to play music while 2-way-talk is in use,,[VIRTUS] Not found on the spec,musicplay.toast.TwoWayTalkInUse,someone_is_using_2waytalk,Someone is using 2-way talk. Please try again later.,雙向通話使用中，請稍候再試,双向通话使用中，请稍候再试,มีคนใช้การพูดคุยแบบ 2 ทาง กรุณาลองใหม่อีกครั้งในภายหลัง.,Jemand nutzt 2-Wege-Gespräch. Bitte versuchen Sie es später noch einmal.
#Toast / 5M capture upload message,,,,toast.uploadingPhoto,,Photo is uploading...,照片上傳中...,照片上传中...,ภาพถ่ายกำลังอัปโหลด ...,Foto wird hochgeladen...
#Toast / Busy,Toast showed when user tried to capture photo when device is busy,,,toast.deviceBusy,monitor_capture_busy_device,Device is busy. Please try again later.,裝置忙碌中，請稍後在試,装置忙碌中，请稍后在试,อุปกรณ์ไม่ว่าง กรุณาลองใหม่อีกครั้งในภายหลัง.,Gerät ist beschäftigt. Bitte versuchen Sie es später noch einmal.
#Toast / Display error,Message shown in case there are some pictures selected and an error occurs when downloading those picture for sharing.,,[VIRTUS] Not found on the spec,photo.gallery.shareLoadFail,N/A,Failed to load pictures to share,讀取照片出現錯誤，無法分享,照片读取出现错误，无法分享,ไม่สามารถโหลดรูปภาพเพื่อแชร์ได้,Bilder zum Teilen konnten nicht geladen werden
#Toast / Error,Toast showed when we have no defined error message,,,toast.something.wrong,something_went_error,Something went wrong! Please try again later.,發生錯誤! 請稍後再試,发生错误! 请稍后再试,บางอย่างผิดพลาด! กรุณาลองใหม่อีกครั้งในภายหลัง.,Etwas ist schief gelaufen! Bitte versuchen Sie es später noch einmal.
#Toast / File deleted,Toast when media is deleted successfully,,[VIRTUS] Not found on the spec,mediaDeleted,N/A,File has been deleted,檔案已刪除,档案已删除,ไฟล์ถูกลบ,Datei wurde gelöscht
#Toast / Note saved,Toast when media note is saved,,[VIRTUS] Not found on the spec,toast.noteSaved,N/A,Note has been saved,註解已儲存,注解已保存,บันทึกได้รับการบันทึกแล้ว,Notiz wurde gespeichert
#Toast / Save failed,Toast showed when video upload fails,,[VIRTUS] Not found on the spec,toast.failedToSave,N/A,Failed to save video,影片儲存失敗,视频保存失败,ไม่สามารถบันทึกวิดีโอได้,Video konnte nicht gespeichert werden
#Toast / Scheduling play deleted ,,,[VIRTUS] Not found on the spec,schedulingplay.deleted,schedulingplay_deleted,The scheduling has been deleted,音樂排程已刪除,音乐排程已删除,การกำหนดเวลาถูกลบ,Die Terminplanung wurde gelöscht
#Toast / Timer off,,,,toast.timerOff,monitor_capture_timer_turn_off,Timer off,關閉定時器,关闭定时器,หมดเวลา,Timer aus
#Toast / Timer on,,,,toast.timerOn,monitor_capture_timer_turn_on,Timer on,開啟定時器,开启定时器,จับเวลา,Timer an
#Toast / Timezone failed,Toast showed when settings fails to set device timezone,,[VIRTUS] Not found on the spec,settings.failedToSetTimezone,N/A,Failed to set time zone.,無法設定時區,无法设置时区,ล้มเหลวในการตั้งค่าเขตเวลา,Die Zeitzone konnte nicht eingestellt werden.
#Toast / Upload failed,"Livestreaming success screenshot dialog, Landscape live streaming fullscreen success screenshot dialog, Home screen",,,toast.video.uploaded,video_uploaded_label,Video has been uploaded,影片已上傳,视频已上传,อัปโหลดวิดีโอแล้ว,Video wurde hochgeladen
#Toast / Uploading,Toast showed when uploading video to cloud,,[VIRTUS] Not found on the spec,toast.uploading,video_uploading_label,Saving/uploading video,正在儲存/上傳影片,正在保存/上传视频,การบันทึก/อัปโหลดวิดีโอ,Video speichern/hochladen
#Toast / Voice file deleted,Toast showed when voice record is deleted,,,musicplay.voice.deleted,content_play_voice_record_deleted,Recording has been deleted.,錄音已刪除,錄音已刪除,การบันทึกถูกลบ,Aufnahme wurde gelöscht.
About menu screen,About menu screen,,,about.hub.appVersion,about_app_version,App version : %s,App 版本 : %s,App 版本 : %s,แอพเวอร์ชัน: %s,App-Version: %s
About menu screen,About menu screen,,,about.hub.deviceVersion,about_device_version,Device version : %s,攝影機 版本 : %s,摄像头版本 : %s,เวอร์ชันอุปกรณ์: %s,Geräteversion: %s
About menu screen,About menu selection screen,,,about.hub.screenTitle,about_menu_bar_title,About,關於,关于,เกี่ยวกับ,Um
About menu screen,About menu selection screen,,,about.windowTitle,about_pixsee_bar_title,About Pixsee,關於Pixsee,关于Pixsee,เกี่ยวกับ Pixsee,Über Pixsee
About menu screen,"About menu selection screen, Privacy policy screen, About Pixsee screen",,,privacy.title,privacy_policy,Privacy policy,隱私政策,隐私政策,นโยบายความเป็นส่วนตัว, Datenschutzerklärung
About menu screen,"About menu selection screen, Terms policy screen",,,terms.title,about_terms_bar_title,Terms of service,服務條款,服务条款,เงื่อนไขการให้บริการ,Nutzungsbedingungen
Alert Modal (link is just to show how the modal looks like),Title for Invite QR code modal,,,title.invite.qr_code,invite_dialog_medium_title,Invite a member by,邀請成員,邀請成員,เชิญสมาชิกโดย,Laden Sie ein Mitglied ein
Alert Modal (link is just to show how the modal looks like),"Realm error description, displayed in a modal",,[VIRTUS] In Android does not use Realm,realm.criticalFailure.subtitle,N/A,Please download the latest version of the app.,請下載並安裝最新版本的App,请下载并安装最新版本的App,โปรดดาวน์โหลดแอพเวอร์ชันล่าสุด,Bitte lade die neueste Version der App herunter.
Alert Modal (link is just to show how the modal looks like),"Realm error title, displayed in a modal",,[VIRTUS] In Android does not use Realm,realm.criticalFailure.title,N/A,An error occurred while starting the app.,啟動App發生錯誤,启动App发生错误,เกิดข้อผิดพลาดในขณะที่เริ่มแอป,Beim Starten der App ist ein Fehler aufgetreten.
Alert Modal (link is just to show how the modal looks like),"Realm error description, displayed in a modal",,[VIRTUS] In Android does not use Realm,realm.migrationFailed.subtitle,N/A,Please login again,請重新登入,请重新登录,กรุณาเข้าสู่ระบบอีกครั้ง,Bitte melde Dich erneut an.
Alert Modal (link is just to show how the modal looks like),"Realm error title, displayed in a modal",,[VIRTUS] In Android does not use Realm,realm.migrationFailed.title,N/A,Unable to restore login status.,無法恢復登入狀態,无法恢复登录状态,ไม่สามารถกู้คืนสถานะการเข้าสู่ระบบได้,Der Anmeldestatus kann nicht wiederhergestellt werden.
Alert Modal (link is just to show how the modal looks like) / Member log out (dialog),Virtual account logout modal description,,[VIRTUS] In Android this feature is not implemented yet,virtualAccount.logout.subtitle,dialog_member_logout_message,All the babies you follow will be removed. You will need to receive a new invitation to follow them again.,這將會停止追蹤所有的寶寶，你需要重新接收邀請,这将会停止追踪所有的宝宝，你需要重新接收邀请,ทารกทั้งหมดที่คุณติดตามจะถูกลบออก คุณจะต้องได้รับคำเชิญใหม่เพื่อติดตามพวกเขาอีกครั้ง,"Alle Babys, denen Sie folgen, werden entfernt. Sie müssen eine neue Einladung erhalten, um ihnen erneut zu folgen."
Baby care / Previous cry,Home screen,,,babyCare.lastCry,baby_care_last_cry_title,Crying record,哭聲紀錄,哭声纪录,บันทึกการร้องไห้,Weinender Rekord
Baby care / Previous cry,,,,last.cry.uncomfortable,discomfort_state,Unwell!,不舒服!,不舒服!,ไม่สบาย,Unwohl!
Baby care / Previous cry,Home screen,,,last.cry.hungry,hungry_state,Hungry!,肚子餓 !,肚子饿 !,หิว !,Hungrig!
Baby care / Previous cry,Home screen,,,last.cry.sleepy,sleepy_state,Sleepy!,想睡覺了嗎 !,想睡觉了吗 !,ง่วงนอน!,Schläfrig!
Baby care / Tips,Home screen,,,babyCare.cryTips,baby_care_cry_tips_title,Cry Decoder,哭聲小解密,哭声小解密,ตัวถอดรหัส,Schrei-Decoder
Baby care / Tips,Home screen,,,babyCare.tip.colic,colic_tip_text,"Baby colic is the main cause of recurrent crying during the early months. It is normal for babies to cry every day, but when this occurs over 3 hours per day, it's called colic.\nThe exact cause of persistent crying isn't clear. It's so common in babies that many experts think it may simply be a normal developmental stage.",腸絞痛可能是寶寶早期幾個月反覆哭鬧的原因。所有的寶寶每天都會有正常的哭鬧。如果一天超過3小時哭鬧，有可能為腸絞痛。寶寶哭泣不停的確切原因還不明確。寶寶哭泣很常見，許多專家認為這是寶寶都會經歷的發展階段。,腹绞痛可能是宝宝早期几个月反复哭闹的原因。所有的宝宝每天都会有正常的哭闹。如果一天超过3小时哭闹，则有可能为腹绞痛。宝宝不停哭泣的确切原因还不明确。宝宝哭泣很常见，许多专家认为这是宝宝都会经历的发展阶段。,จุกเสียดทารกเป็นสาเหตุหลักของการร้องไห้ซ้ำในช่วงต้นเดือน เป็นเรื่องปกติที่เด็กทารกจะร้องไห้ทุกวัน แต่เมื่อสิ่งนี้เกิดขึ้นนานกว่า 3 ชั่วโมงต่อวันมันเรียกว่าอาการจุกเสียด \ n สาเหตุที่แน่นอนของการร้องไห้อย่างต่อเนื่องไม่ชัดเจน เป็นเรื่องธรรมดาในทารกที่ผู้เชี่ยวชาญหลายคนคิดว่ามันอาจเป็นขั้นตอนการพัฒนาปกติ,"Babykoliken sind die Hauptursache für wiederkehrendes Weinen in den ersten Monaten. Es ist normal, dass Babys jeden Tag weinen, aber wenn dies mehr als drei Stunden am Tag geschieht, spricht man von Koliken.\nDie genaue Ursache für anhaltendes Weinen ist nicht klar. Es kommt bei Babys so häufig vor, dass viele Experten davon ausgehen, dass es sich lediglich um ein normales Entwicklungsstadium handelt."
Baby care / Tips,Home screen,,,babyCare.tip.title.colic,colic_tip_title,Colic?,腸絞痛?,腹绞痛?,อาการจุกเสียด?,Kolik?
Baby care / Tips,Home screen,,,babyCare.tip.dirtyDiaper,dirty_diaper_tip_text,"Babies may be fuzzy if they have a wet or soiled diaper. Some babies don't seem to mind unless their skin feels irritated.\nStool is very irritating to the skin. If not cleaned off, it can cause pain, swelling, and burning.",如果尿布濕了或是髒了，寶寶或許會哭泣來表示抗議。有些寶寶並不太在意除非皮膚癢或痛等不舒服的感覺。不過請留意，排泄物相當刺激皮膚，如果沒有清潔乾淨，可能會導致紅、腫、熱、痛。,如果尿布湿了或是脏了，宝宝或许会通过哭泣来表示抗议。有些宝宝并不太在意，除非产生皮肤痒或痛等不舒服的感觉。不过请留意，排泄物非常刺激皮肤，如果没有清洁干净，可能会导致红、肿、热、痛。,ทารกอาจฟัซซี่ถ้าพวกเขามีผ้าอ้อมเปียกหรือสกปรก ทารกบางคนดูเหมือนจะไม่สนใจเว้นแต่ผิวของพวกเขาจะรู้สึกหงุดหงิด \ nstool ทำให้ผิวระคายเคืองมาก หากไม่ได้ทำความสะอาดมันอาจทำให้เกิดอาการปวดบวมและเผาไหม้,"Babys können flauschig sein, wenn sie eine nasse oder verschmutzte Windel haben. Manche Babys scheinen das nicht zu stören, es sei denn, ihre Haut fühlt sich gereizt an.\nStuhl ist sehr reizend für die Haut. Wenn es nicht entfernt wird, kann es zu Schmerzen, Schwellungen und Brennen kommen."
Baby care / Tips,Home screen,,,babyCare.tip.title.dirtyDiaper,dirty_diaper_tip_title,Dirty diaper?,尿布濕了或髒了?,尿布湿了或脏了?,ผ้าอ้อมสกปรก?,Schmutzige Windel?
Baby care / Tips,Home screen,,,babyCare.tip.hungry,hungry_tip_text,"The most common reason babies cry is because they are hungry, especially newborns. Babies' stomachs are small and can't hold very much, so it won't take long before they need to be fed again. Babies may not stop crying immediately, but after eating, they will be happier.",寶寶哭泣最常見的原因是肚子餓，特別是新生兒。由於新生寶寶的胃容量很小，無法容納很多食物，所以餵哺的間隔也短。寶寶可能不會馬上停止哭泣，但餵完時，他們的心情會變好。,宝宝哭泣最常见的原因是肚子饿，特别是新生儿。由于新生宝宝的胃容量很小，无法容纳很多食物，所以喂养的间隔也短。宝宝可能不会马上停止哭泣，但喂完后，他们的心情会变好。,เหตุผลที่พบบ่อยที่สุดที่ทารกร้องไห้คือเพราะพวกเขาหิวโดยเฉพาะทารกแรกเกิด ท้องของทารกมีขนาดเล็กและไม่สามารถถือได้มากดังนั้นจึงใช้เวลาไม่นานก่อนที่พวกเขาจะต้องได้รับอาหารอีกครั้ง ทารกอาจไม่หยุดร้องไห้ทันที แต่หลังจากรับประทานอาหารพวกเขาจะมีความสุขมากขึ้น,"Der häufigste Grund, warum Babys weinen, ist der Hunger, insbesondere bei Neugeborenen. Da der Magen von Babys klein ist und nicht viel aufnehmen kann, dauert es nicht lange, bis sie wieder gefüttert werden müssen. Babys hören vielleicht nicht sofort auf zu weinen, aber nach dem Essen sind sie glücklicher."
Baby care / Tips,Home screen,,,babyCare.tip.title.hungry,hungry_tip_title,Hungry?,肚子餓?,肚子饿?,หิว?,Hungrig?
Baby care / Tips,Home screen,,,babyCare.tip.pain,pain_tip_text,"Causes of pain include earaches, mouth ulcers, or a diaper rash. These issues make babies cry a lot, and even when they are not crying, they don't seem happy. In such cases, babies need to see a doctor to get diagnosed.",疼痛的原因包含耳朵痛、嘴破和尿布疹等。寶寶會因這些原因哭個不停，即使不哭，也會顯得不開心。若出現上述症狀，需要接受醫生診斷。,疼痛的原因包含耳朵痛、嘴破和尿布疹等。宝宝会因这些原因哭个不停，即使不哭，也会显得不开心。若出现上述症状，需要接受医生诊断。,"สาเหตุของอาการปวด ได้แก่ หูหู, แผลในปากหรือผื่นผ้าอ้อม ปัญหาเหล่านี้ทำให้ทารกร้องไห้มากและแม้ว่าพวกเขาจะไม่ร้องไห้พวกเขาก็ดูเหมือนจะไม่มีความสุข ในกรณีเช่นนี้เด็กทารกต้องไปพบแพทย์เพื่อวินิจฉัย","Zu den Schmerzursachen zählen Ohrenschmerzen, Geschwüre im Mund oder Windeldermatitis. Diese Probleme bringen Babys dazu, viel zu weinen, und selbst wenn sie nicht weinen, scheinen sie nicht glücklich zu sein. In solchen Fällen müssen Babys einen Arzt aufsuchen, um eine Diagnose zu erhalten."
Baby care / Tips,Home screen,,,babyCare.tip.title.pain,pain_tip_title,Pain?,疼痛不舒服？,疼痛不舒服？,ความเจ็บปวด?,Schmerz?
Baby care / Tips,Home screen,,,babyCare.tip.sleepy,sleepy_tip_text,"The common reason babies cry is babies need sleep. They need their parent to put them in a comfortable position. It may be swaddled and on their back. Then they fuss a little and fall asleep.\nTry to avoid too much rocking, singing, and take them to a quiet room to help them calm down and switch off.",寶寶哭泣另外常見的原因是想睡覺。寶寶需要爸媽幫他們放個舒服的姿勢。可嘗試用包巾把寶寶包裹起來，減少反射動作，比較容易入睡。避免過當地搖晃寶寶、唱歌給寶寶聽，盡量把他們帶到安靜的房間，幫助他們冷靜和斷電。,宝宝哭泣的另一个常见原因是想睡觉。宝宝需要爸爸妈妈帮他们换个舒服的姿势。可尝试用包巾把宝宝包裹起来，减少反射动作，比较容易入睡。避免过当地摇晃宝宝、唱歌给宝宝听，尽量把他们带到安静的房间，帮助他们冷静和减少动作。,เหตุผลทั่วไปที่ทารกร้องไห้คือเด็กต้องนอนหลับ พวกเขาต้องการพ่อแม่ของพวกเขาเพื่อให้พวกเขาอยู่ในตำแหน่งที่สะดวกสบาย มันอาจจะถูกกวาดและบนหลังของพวกเขา จากนั้นพวกเขาก็เอะอะเล็กน้อยและหลับไป \ ntry เพื่อหลีกเลี่ยงการโยกร้องเพลงและพาพวกเขาไปที่ห้องที่เงียบสงบเพื่อช่วยให้พวกเขาสงบลงและปิด,"Der häufigste Grund, warum Babys weinen, ist, dass Babys Schlaf brauchen. Sie brauchen ihre Eltern, die sie in eine bequeme Position bringen. Es kann gewickelt und auf dem Rücken getragen werden. Dann machen sie ein wenig Aufregung und schlafen ein.\nVermeiden Sie zu viel Schaukeln und Singen und bringen Sie sie in einen ruhigen Raum, damit sie sich beruhigen und abschalten können."
Baby care / Tips,Home screen,,,babyCare.tip.title.sleepy,sleepy_tip_title,Sleepy?,想睡覺了嗎？,想睡觉了吗？,ง่วงนอน?,Schläfrig?
Baby care / Tips,Home screen,,,babyCare.tip.clothing,temperature_tip_text,Being too hot or too cold can make a baby cry. So can clothing when is too tight.\nYou can check whether your baby is too hot or too cold by touching his/her tummy or back of the neck. Don't be guided by the temperature of your baby's hands or feet. It's normal for them to feel colder than the rest of your baby's body.,太熱、太冷、或衣服包得太緊都會使寶寶哭泣。父母可以透過摸寶寶肚子或頸後的溫度來判斷他/她是否太熱或太冷。因為一般寶寶手腳的溫度比身體其他部位低，建議不要透過寶寶手腳溫度來確認 。,太热、太冷、或衣服包得太紧都会使宝宝哭泣。父母可以通过摸宝宝肚子或颈后的温度来判断他/她是否太热或太冷。因为宝宝手脚的温度一般比身体其他部位低，故建议不要通过宝宝手脚温度来确认 。,การร้อนหรือเย็นเกินไปอาจทำให้ทารกร้องไห้ ดังนั้นเสื้อผ้าสามารถเมื่อแน่นเกินไป \ nyou สามารถตรวจสอบได้ว่าลูกน้อยของคุณร้อนหรือเย็นเกินไปโดยการสัมผัสหน้าท้องหรือหลังคอของเขา/เธอ อย่าได้รับคำแนะนำจากอุณหภูมิมือหรือเท้าของลูกน้อย เป็นเรื่องปกติที่พวกเขาจะรู้สึกเย็นกว่าร่างกายของลูกน้อยที่เหลือ,"Zu heiß oder zu kalt kann ein Baby zum Weinen bringen. Das gilt auch für Kleidung, die zu eng ist.\nSie können überprüfen, ob Ihrem Baby zu warm oder zu kalt ist, indem Sie seinen Bauch oder seinen Nacken berühren. Lassen Sie sich nicht von der Temperatur der Hände oder Füße Ihres Babys leiten. Es ist normal, dass sie sich kälter anfühlen als der Rest des Körpers Ihres Babys."
Baby care / Tips,Home screen,,,babyCare.tip.title.clothing,temperature_tip_title,Clothing?,穿太多或太少?,穿太多或太少?,เสื้อผ้า?,Kleidung?
